location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
c001,C001,room,C,false,false,orar.usv.ro,"ID: 8, Capacitate: 42"
c002,C002,room,C,false,false,orar.usv.ro,"ID: 9, Capacitate: 42"
c004,C004,room,C,false,false,orar.usv.ro,"ID: 10, Capacitate: 21"
c005,C005,room,C,false,false,orar.usv.ro,"ID: 11, Capacitate: 21"
c007,C007,room,C,false,false,orar.usv.ro,"ID: 12, Capacitate: 0"
c101,C101,room,C,false,false,orar.usv.ro,"ID: 13, Capacitate: 30"
c102,C102,room,C,false,false,orar.usv.ro,"ID: 14, Capacitate: 29"
c103,C103,room,C,false,false,orar.usv.ro,"ID: 15, Capacitate: 30"
c104,C104,room,C,false,false,orar.usv.ro,"ID: 16, Capacitate: 21"
c105,C105,room,C,false,false,orar.usv.ro,"ID: 17, Capacitate: 21"
c107,C107,room,C,false,false,orar.usv.ro,"ID: 19, Capacitate: 21"
c108,C108,room,C,false,false,orar.usv.ro,"ID: 20, Capacitate: 0"
c109,C109,room,C,false,false,orar.usv.ro,"ID: 21, Capacitate: 19"
c201,C201,room,C,false,false,orar.usv.ro,"ID: 22, Capacitate: 28"
c202,C202,room,C,false,false,orar.usv.ro,"ID: 23, Capacitate: 28"
c203,C203,room,C,false,false,orar.usv.ro,"ID: 24, Capacitate: 28"
c204,C204,room,C,false,false,orar.usv.ro,"ID: 25, Capacitate: 21"
c205,C205,room,C,false,false,orar.usv.ro,"ID: 26, Capacitate: 0"
c206,C206,room,C,false,false,orar.usv.ro,"ID: 27, Capacitate: 0"
c207,C207,room,C,false,false,orar.usv.ro,"ID: 28, Capacitate: 21"
c208,C208,room,C,false,false,orar.usv.ro,"ID: 29, Capacitate: 0"
c209,C209,room,C,false,false,orar.usv.ro,"ID: 30, Capacitate: 19"
c301,C301,room,C,false,false,orar.usv.ro,"ID: 31, Capacitate: 28"
c302,C302,room,C,false,false,orar.usv.ro,"ID: 32, Capacitate: 28"
c303,C303,room,C,false,false,orar.usv.ro,"ID: 33, Capacitate: 28"
c304,C304,room,C,false,false,orar.usv.ro,"ID: 34, Capacitate: 21"
c305,C305,room,C,false,false,orar.usv.ro,"ID: 35, Capacitate: 21"
c307,C307,room,C,false,false,orar.usv.ro,"ID: 37, Capacitate: 0"
d001,D001,room,D,false,false,orar.usv.ro,"ID: 38, Capacitate: 0"
d002,D002,room,D,false,false,orar.usv.ro,"ID: 39, Capacitate: 0"
d003,D003,room,D,false,false,orar.usv.ro,"ID: 40, Capacitate: 0"
d004,D004,room,D,false,false,orar.usv.ro,"ID: 41, Capacitate: 0"
d005,D005,room,D,false,false,orar.usv.ro,"ID: 43, Capacitate: 0"
d006,D006,room,D,false,false,orar.usv.ro,"ID: 44, Capacitate: 18"
d007,D007,room,D,false,false,orar.usv.ro,"ID: 45, Capacitate: 14"
d008,D008,room,D,false,false,orar.usv.ro,"ID: 46, Capacitate: 14"
d009,D009,room,D,false,false,orar.usv.ro,"ID: 47, Capacitate: 14"
d011,D011,room,D,false,false,orar.usv.ro,"ID: 48, Capacitate: 21"
d101,D101,room,D,false,false,orar.usv.ro,"ID: 49, Capacitate: 36"
d103,D103,room,D,false,false,orar.usv.ro,"ID: 51, Capacitate: 0"
d104a,D104a,room,D,false,false,orar.usv.ro,"ID: 52, Capacitate: 0"
d105,D105,room,D,false,false,orar.usv.ro,"ID: 53, Capacitate: 0"
d106,D106,room,D,false,false,orar.usv.ro,"ID: 54, Capacitate: 14"
d107,D107,room,D,false,false,orar.usv.ro,"ID: 55, Capacitate: 14"
d108,D108,room,D,false,false,orar.usv.ro,"ID: 56, Capacitate: 0"
d109,D109,room,D,false,false,orar.usv.ro,"ID: 57, Capacitate: 0"
d111,D111,room,D,false,false,orar.usv.ro,"ID: 58, Capacitate: 0"
d205,D205,room,D,false,false,orar.usv.ro,"ID: 60, Capacitate: 14"
d207,D207,room,D,false,false,orar.usv.ro,"ID: 61, Capacitate: 0"
d_amf._dh,amf. Dragomir Hurmuzescu,room,D,false,false,orar.usv.ro,"ID: 63, Capacitate: 36"
d_amf._nb,amf. Nicolae Boţan,room,D,false,false,orar.usv.ro,"ID: 65, Capacitate: 36"
d_amf._rr,amf. Remus Radulet,room,D,false,false,orar.usv.ro,"ID: 66, Capacitate: 36"
a018,A018,room,A,false,false,orar.usv.ro,"ID: 70, Capacitate: 12"
a022,A022 Centru Resurse ET,room,A,false,false,orar.usv.ro,"ID: 71, Capacitate: 20"
c306,C306,room,C,false,false,orar.usv.ro,"ID: 72, Capacitate: 21"
fim2,Amf. Emanuel Diaconescu,room,B,false,false,orar.usv.ro,"ID: 73, Capacitate: 0"
b302,B302 Tehnica dentara-Protetica,room,B,false,false,orar.usv.ro,"ID: 74, Capacitate: 0"
ed004,ED004,room,E,false,false,orar.usv.ro,"ID: 81, Capacitate: 0"
e213,E213,room,E,false,false,orar.usv.ro,"ID: 82, Capacitate: 0"
e210,E210,room,E,false,false,orar.usv.ro,"ID: 83, Capacitate: 0"
e205,E205,room,E,false,false,orar.usv.ro,"ID: 84, Capacitate: 0"
e223,E223,room,E,false,false,orar.usv.ro,"ID: 85, Capacitate: 0"
b304,B304,room,B,false,false,orar.usv.ro,"ID: 90, Capacitate: 0"
b305_lab_fiz,B305 Laborator Fizica,laboratory,B,false,false,orar.usv.ro,"ID: 92, Capacitate: 0"
b307_sala_curs,B307 Sala Curs,room,B,false,false,orar.usv.ro,"ID: 93, Capacitate: 0"
b310_sala_curs,B310 Sala Curs,room,B,false,false,orar.usv.ro,"ID: 94, Capacitate: 0"
b312,FIM B312,room,B,false,false,orar.usv.ro,"ID: 95, Capacitate: 0"
b006_lab_mf,B006 Laborator Mec Fluide,laboratory,B,false,false,orar.usv.ro,"ID: 96, Capacitate: 0"
b008_lab_tmt,B008 Laborator Termotehnica,laboratory,B,false,false,orar.usv.ro,"ID: 97, Capacitate: 0"
b209_lab_mec,B209 Laborator Mecanica,laboratory,B,false,false,orar.usv.ro,"ID: 102, Capacitate: 0"
b213_lab_rm,B213 Laborator Rezistenta,laboratory,B,false,false,orar.usv.ro,"ID: 104, Capacitate: 0"
b202_lab_dt+gd,B202 Laborator Desen Tehnic,laboratory,B,false,false,orar.usv.ro,"ID: 106, Capacitate: 0"
b301,B301 Tehnica dentara-protetica,room,B,false,false,orar.usv.ro,"ID: 107, Capacitate: 0"
b303,B303 Laborator microbiologie,laboratory,B,false,false,orar.usv.ro,"ID: 108, Capacitate: 0"
b308_lab_smct,B308 Laborator Sisteme Mecatr,laboratory,B,false,false,orar.usv.ro,"ID: 110, Capacitate: 0"
b309_lab_pac+mn,B309 Laborator Proiectare Asis,laboratory,B,false,false,orar.usv.ro,"ID: 111, Capacitate: 0"
lab_tm,Laborator TM,laboratory,B,false,false,orar.usv.ro,"ID: 112, Capacitate: 0"
ed001,ED001,room,E,false,false,orar.usv.ro,"ID: 115, Capacitate: 0"
e209,E209,room,E,false,false,orar.usv.ro,"ID: 116, Capacitate: 0"
obs.2,Obs2 Lab. Testare Psihologică,laboratory,Obs.,false,false,orar.usv.ro,"ID: 117, Capacitate: 0"
g101,G101,room,G,false,false,orar.usv.ro,"ID: 118, Capacitate: 0"
b101,B101 Nutriție și Metabolism,room,B,false,false,orar.usv.ro,"ID: 120, Capacitate: 0"
b011_lab_dispteh,B011 Laborator Dispozitive ,laboratory,B,false,false,orar.usv.ro,"ID: 122, Capacitate: 0"
b012_lab_pdpr,B012 Laborator Prelucr def,laboratory,B,false,false,orar.usv.ro,"ID: 123, Capacitate: 0"
b013_lab_tehnfab,B013 Laborator Tehn de Fabr,laboratory,B,false,false,orar.usv.ro,"ID: 124, Capacitate: 0"
