source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,C001,C001,room,,C,"ID: 8, Capacitate: 42"
orar.usv.ro,C002,C002,room,,C,"ID: 9, Capacitate: 42"
orar.usv.ro,C004,C004,room,,C,"ID: 10, Capacitate: 21"
orar.usv.ro,C005,C005,room,,C,"ID: 11, Capacitate: 21"
orar.usv.ro,C007,C007,room,,C,"ID: 12, Capacitate: 0"
orar.usv.ro,C101,C101,room,,C,"ID: 13, Capacitate: 30"
orar.usv.ro,C102,C102,room,,C,"ID: 14, Capacitate: 29"
orar.usv.ro,C103,C103,room,,C,"ID: 15, Capacitate: 30"
orar.usv.ro,C104,C104,room,,C,"ID: 16, Capacitate: 21"
orar.usv.ro,C105,C105,room,,C,"ID: 17, Capacitate: 21"
orar.usv.ro,C107,C107,room,,C,"ID: 19, Capacitate: 21"
orar.usv.ro,C108,C108,room,,C,"ID: 20, Capacitate: 0"
orar.usv.ro,C109,C109,room,,C,"ID: 21, Capacitate: 19"
orar.usv.ro,C201,C201,room,,C,"ID: 22, Capacitate: 28"
orar.usv.ro,C202,C202,room,,C,"ID: 23, Capacitate: 28"
orar.usv.ro,C203,C203,room,,C,"ID: 24, Capacitate: 28"
orar.usv.ro,C204,C204,room,,C,"ID: 25, Capacitate: 21"
orar.usv.ro,C205,C205,room,,C,"ID: 26, Capacitate: 0"
orar.usv.ro,C206,C206,room,,C,"ID: 27, Capacitate: 0"
orar.usv.ro,C207,C207,room,,C,"ID: 28, Capacitate: 21"
orar.usv.ro,C208,C208,room,,C,"ID: 29, Capacitate: 0"
orar.usv.ro,C209,C209,room,,C,"ID: 30, Capacitate: 19"
orar.usv.ro,C301,C301,room,,C,"ID: 31, Capacitate: 28"
orar.usv.ro,C302,C302,room,,C,"ID: 32, Capacitate: 28"
orar.usv.ro,C303,C303,room,,C,"ID: 33, Capacitate: 28"
orar.usv.ro,C304,C304,room,,C,"ID: 34, Capacitate: 21"
orar.usv.ro,C305,C305,room,,C,"ID: 35, Capacitate: 21"
orar.usv.ro,C307,C307,room,,C,"ID: 37, Capacitate: 0"
orar.usv.ro,D001,D001,room,,D,"ID: 38, Capacitate: 0"
orar.usv.ro,D002,D002,room,,D,"ID: 39, Capacitate: 0"
orar.usv.ro,D003,D003,room,,D,"ID: 40, Capacitate: 0"
orar.usv.ro,D004,D004,room,,D,"ID: 41, Capacitate: 0"
orar.usv.ro,D005,D005,room,,D,"ID: 43, Capacitate: 0"
orar.usv.ro,D006,D006,room,,D,"ID: 44, Capacitate: 18"
orar.usv.ro,D007,D007,room,,D,"ID: 45, Capacitate: 14"
orar.usv.ro,D008,D008,room,,D,"ID: 46, Capacitate: 14"
orar.usv.ro,D009,D009,room,,D,"ID: 47, Capacitate: 14"
orar.usv.ro,D011,D011,room,,D,"ID: 48, Capacitate: 21"
orar.usv.ro,D101,D101,room,,D,"ID: 49, Capacitate: 36"
orar.usv.ro,D103,D103,room,,D,"ID: 51, Capacitate: 0"
orar.usv.ro,D104a,D104a,room,,D,"ID: 52, Capacitate: 0"
orar.usv.ro,D105,D105,room,,D,"ID: 53, Capacitate: 0"
orar.usv.ro,D106,D106,room,,D,"ID: 54, Capacitate: 14"
orar.usv.ro,D107,D107,room,,D,"ID: 55, Capacitate: 14"
orar.usv.ro,D108,D108,room,,D,"ID: 56, Capacitate: 0"
orar.usv.ro,D109,D109,room,,D,"ID: 57, Capacitate: 0"
orar.usv.ro,D111,D111,room,,D,"ID: 58, Capacitate: 0"
orar.usv.ro,D205,D205,room,,D,"ID: 60, Capacitate: 14"
orar.usv.ro,D207,D207,room,,D,"ID: 61, Capacitate: 0"
orar.usv.ro,D Amf. DH,amf. Dragomir Hurmuzescu,room,,D,"ID: 63, Capacitate: 36"
orar.usv.ro,D Amf. NB,amf. Nicolae Boţan,room,,D,"ID: 65, Capacitate: 36"
orar.usv.ro,D Amf. RR,amf. Remus Radulet,room,,D,"ID: 66, Capacitate: 36"
orar.usv.ro,A018,A018,room,,A,"ID: 70, Capacitate: 12"
orar.usv.ro,A022,A022 Centru Resurse ET,room,,A,"ID: 71, Capacitate: 20"
orar.usv.ro,C306,C306,room,,C,"ID: 72, Capacitate: 21"
orar.usv.ro,FIM2,Amf. Emanuel Diaconescu,room,,B,"ID: 73, Capacitate: 0"
orar.usv.ro,B302,B302 Tehnica dentara-Protetica,room,,B,"ID: 74, Capacitate: 0"
orar.usv.ro,ED004,ED004,room,,E,"ID: 81, Capacitate: 0"
orar.usv.ro,E213,E213,room,,E,"ID: 82, Capacitate: 0"
orar.usv.ro,E210,E210,room,,E,"ID: 83, Capacitate: 0"
orar.usv.ro,E205,E205,room,,E,"ID: 84, Capacitate: 0"
orar.usv.ro,E223,E223,room,,E,"ID: 85, Capacitate: 0"
orar.usv.ro,B304,B304,room,,B,"ID: 90, Capacitate: 0"
orar.usv.ro,B305 Lab Fiz,B305 Laborator Fizica,laboratory,,B,"ID: 92, Capacitate: 0"
orar.usv.ro,B307 Sala Curs,B307 Sala Curs,room,,B,"ID: 93, Capacitate: 0"
orar.usv.ro,B310 Sala Curs,B310 Sala Curs,room,,B,"ID: 94, Capacitate: 0"
orar.usv.ro,B312,FIM B312,room,,B,"ID: 95, Capacitate: 0"
orar.usv.ro,B006 Lab MF,B006 Laborator Mec Fluide,laboratory,,B,"ID: 96, Capacitate: 0"
orar.usv.ro,B008 Lab TMT,B008 Laborator Termotehnica,laboratory,,B,"ID: 97, Capacitate: 0"
orar.usv.ro,B209 Lab Mec,B209 Laborator Mecanica,laboratory,,B,"ID: 102, Capacitate: 0"
orar.usv.ro,B213 Lab RM,B213 Laborator Rezistenta,laboratory,,B,"ID: 104, Capacitate: 0"
orar.usv.ro,B202 Lab DT+GD,B202 Laborator Desen Tehnic,laboratory,,B,"ID: 106, Capacitate: 0"
